Sno,Author Names, Title of the Paper,Year of Published,Dataset Used,Methodology Used,Limitation of the Paper
1,"Y. Wei, J. Jang-Jaccard, F. Sabrina, A. Singh, W. Xu, S. Camtepe",Reconstruction-based LSTM-Autoencoder for Anomaly-based DDoS Attack Detection over Multivariate Time-Series Data,2023,"CICDDoS2019 (reflection-based: DNS, LDAP, SNMP)",LSTM-Autoencoder (LSTM-AE) with reconstruction-error thresholding for unsupervised anomaly detection,Evaluated only on reflection-based attack types; limited coverage of the full CICDDoS2019 attack diversity
2,"M. S. Elsayed, N.-A. Le-Khac, S. Dev, A. D. Jurcut",DDoSNet: A Deep-Learning Model for Detecting Network Attacks,2020,CICDDoS2019,Recurrent Neural Network (RNN) combined with an Autoencoder and Softmax classifier,Designed and validated only for SDN environments; generalization to traditional networks not tested
3,"D. Alghazzawi, O. Bamasag, H. Ullah, M. Z. Asghar",Efficient Detection of DDoS Attacks Using a Hybrid Deep Learning Model with Improved Feature Selection,2021,CICDDoS2019,Hybrid CNN + Bidirectional LSTM (BiLSTM) with Chi-square-based feature selection,Accuracy (94.52%) is lower than several later hybrid/LSTM-based models; performance highly dependent on the feature-selection step
4,"M. Subrmanian, K. Shanmugavadivel, P. S. Nandhini, R. Sowmya",Evaluating the Performance of LSTM and GRU in Detection of Distributed Denial of Service Attacks Using CICDDoS2019 Dataset,2022,CICDDoS2019,Comparative supervised classification using LSTM and GRU networks,Purely supervised approach with no anomaly-detection component for unseen attacks; GRU accuracy (92.5%) notably lower than LSTM (99.4%)
5,"A. L. Yaser, H. M. Mousa, M. Hussein",Improved DDoS Detection Utilizing Deep Neural Networks and Feedforward Neural Networks as Autoencoder,2022,NSL-KDD and CICDDoS2019,Feedforward Neural Network stacked as an Autoencoder combined with a Deep Neural Network classifier,Feedforward autoencoder cannot model temporal/sequential dependencies present in network traffic flows
6,R. Aydin,A Long Short-Term Memory (LSTM)-Based Distributed Denial of Service (DDoS) Detection and Defense System Design in Public Cloud Network Environment (LSTM-CLOUD),2022,CICDDoS2019,LSTM-based signature detection module paired with a defense/mitigation module,Signature-based detection strategy limits the system's ability to identify novel or zero-day attack patterns
7,"A. K. Mousa, M. N. Abdullah",An Improved Deep Learning Model for DDoS Detection Based on Hybrid Stacked Autoencoder and Checkpoint Network,2023,SDN DDoS dataset and Botnet dataset,"Hybrid LSTM + CNN with a stacked autoencoder, combined with a checkpoint network for fault tolerance",Increased architectural complexity and training overhead from stacking multiple deep components; not evaluated on CICDDoS2019 directly
8,"W. Xu, J. Jang-Jaccard, A. Singh, Y. Wei, F. Sabrina",Improving Performance of Autoencoder-Based Network Anomaly Detection on NSL-KDD Dataset,2021,NSL-KDD,Deep autoencoder with feature reduction for unsupervised network anomaly/intrusion detection,"Tested only on the older NSL-KDD dataset; does not address modern, high-volume DDoS traffic patterns found in CICDDoS2019"
9,"H. Elubeyd, D. Yiltas-Kaplan",Hybrid Deep Learning Approach for Automatic DoS/DDoS Attacks Detection in Software-Defined Networks,2023,CICDDoS2019 and a custom-generated SDN dataset,"Hybrid combination of 1D CNN, Gated Recurrent Unit (GRU), and Dense Neural Network (DNN)",Combining three deep learning components increases training/computational cost; accuracy varies noticeably between the two datasets used (99.81% vs 99.88%)
10,"A. Zainudin, L. A. C. Ahakonye, R. Akter, D.-S. Kim, J.-M. Lee",An Efficient Hybrid-DNN for DDoS Detection and Classification in Software-Defined IIoT Networks,2023,Software-Defined IIoT network traffic dataset,Hybrid CNN-LSTM model with XGBoost-based feature selection,Purpose-built for Software-Defined IIoT environments; feature-selection dependency may limit robustness to unseen/evolving attack types
11,"T. Singha, J. Jang-Jaccard",MSCNN-LSTM-AE: Hybrid Autoencoder Combining Multi-Scale CNN and LSTM for Network Anomaly Detection,2022,"UNSW-NB15, NSL-KDD, and CICDDoS2019",Two-stage autoencoder: Multi-Scale CNN Autoencoder (MSCNN-AE) for spatial features followed by an LSTM-Autoencoder for temporal features,Reported accuracy (93.76%) and recall (92.26%) are lower than several supervised alternatives; two-stage pipeline adds architectural complexity
12,"M. A. Ferrag, L. Maglaras, S. Moschoyiannis, H. Janicke","Deep Learning for Cyber Security Intrusion Detection: Approaches, Datasets, and Comparative Study",2020,"Multiple benchmark datasets (CICIDS2017, NSL-KDD, and others)",Comparative survey and benchmarking of deep learning architectures (including LSTM and Autoencoders) for intrusion detection,A survey/benchmark study rather than a novel detection framework; does not propose a combined LSTM-Autoencoder architecture evaluated on CICDDoS2019
13,"S. Yeom, C. Choi, K. Kim",LSTM-Based Collaborative Source-Side DDoS Attack Detection,2022,Simulated/collected source-side network traffic (IEEE Access study),LSTM-based classifier deployed collaboratively across multiple source-side detection points,"Requires deployment and coordination across multiple source nodes, increasing system complexity; not evaluated on CICDDoS2019 or with autoencoder-based anomaly detection"
14,"A. Saied, R. E. Overill, T. Radzik",Detection of Known and Unknown DDoS Attacks Using Artificial Neural Networks,2016,Custom-generated DDoS traffic dataset,Feedforward Artificial Neural Network (ANN) trained on labelled traffic signatures,"Shallow ANN lacks temporal/sequential modeling and unsupervised anomaly detection, limiting effectiveness against fully unknown (zero-day) attacks"
15,"R. Doriguzzi-Corin, S. Millar, S. Scott-Hayward, J. Martinez-del-Rincon, D. Siracusa","LUCID: A Practical, Lightweight Deep Learning Solution for DDoS Attack Detection",2020,"CICDDoS2019, ISCX2012, and other benchmark datasets",Lightweight Convolutional Neural Network (CNN) with dataset-agnostic preprocessing for low-overhead traffic classification,"Purely supervised CNN-based classification; no unsupervised/anomaly-detection mechanism, so it struggles to generalize to entirely unseen attack types"
16,"M. A. Salahuddin, V. Pourahmadi, H. A. Alameddine, M. F. Bari, R. Boutaba",Chronos: DDoS Attack Detection Using Time-Based Autoencoder,2021,Network traffic flow datasets (time-windowed),Time-based Autoencoder using reconstruction error over sliding time windows,Does not incorporate LSTM-based sequence modeling; detection accuracy is sensitive to the choice of time-window size
17,"A. M. Al-Eryani, F. A. Omara, E. Hossny",A Deep Learning GRU-BiLSTM for DDoS Attack Detection,2025,CIC-DDoS2019,Hybrid Gated Recurrent Unit (GRU) and Bidirectional LSTM (BiLSTM) model for combined spatial-temporal feature extraction,High computational complexity from combining two recurrent architectures; not evaluated against fully unsupervised/zero-day attack scenarios
18,"I. Priyadarshini, P. Mohanty, A. Alkhayyat, R. Sharma, S. Kumar",SDN and Application Layer DDoS Attacks Detection in IoT Devices by Attention-Based Bi-LSTM-CNN,2023,IoT/SDN application-layer traffic dataset,Attention-based hybrid Bi-LSTM and CNN model for application-layer DDoS detection,"Focused specifically on application-layer attacks in IoT/SDN settings; attention mechanism adds computational overhead, limiting real-time deployment"
19,M. Cui et al.,Multi-Class Intrusion Detection System in SDN Based on Hybrid BiLSTM Model,2024,SDN network traffic dataset (CICIDS2017/CICDDoS2019-based),Hybrid Bidirectional LSTM (BiLSTM) model for multi-class DDoS/intrusion classification,Multi-class classification increases model complexity and computational cost; performance degrades for underrepresented attack classes
20,H. Wang et al.,A New DDoS Attack Detection Model Based on Improved Stacked Autoencoder and Gated Recurrent Unit for Software Defined Network,2025,Software-Defined Network (SDN) traffic dataset,Improved stacked Autoencoder combined with a Gated Recurrent Unit (GRU) classifier,Added architectural complexity from stacking autoencoder and GRU layers; recent publication with limited independent cross-dataset validation
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
